"latin_name","Density","Biomass","ID_sampling","station_name","dates","Temperature","Salinity"
"Ophiura albida",61.11111111,1.8,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Ophiura albida",63.33333333,5.244444444,215,"Suederfahrt","1971-09-06",15,17.6625
"Ophiura albida",25.55555556,1.133333333,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Ophiura albida",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Ophiura albida",73.33333333,3.955555556,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Ophiura albida",178.8888889,9.222222222,222,"Suederfahrt","1975-12-15",3.7,24.2
"Ophiura albida",158.8888889,7.588888889,223,"Suederfahrt","1976-02-18",1.6,18
"Ophiura albida",250,4.711111111,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Pectinaria koreni",0,0,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Pectinaria koreni",0,0,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Pectinaria koreni",5.555555556,0.011111111,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Pectinaria koreni",11.11111111,0.2,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Pectinaria koreni",11.11111111,0.577777778,206,"Suederfahrt","1968-11-15",9.2,21.917
"Pectinaria koreni",23.33333333,2.055555556,207,"Suederfahrt","1969-01-15",3.4,18.675
"Pectinaria koreni",3.333333333,0.022222222,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Pectinaria koreni",5.555555556,0.188888889,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Pectinaria koreni",3.333333333,0.111111111,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Pectinaria koreni",0,0,215,"Suederfahrt","1971-09-06",15,17.6625
"Pectinaria koreni",1.111111111,0.011111111,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Pectinaria koreni",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Pectinaria koreni",1.111111111,0.011111111,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Pectinaria koreni",44.44444444,1.722222222,222,"Suederfahrt","1975-12-15",3.7,24.2
"Pectinaria koreni",42.22222222,4.433333333,223,"Suederfahrt","1976-02-18",1.6,18
"Pectinaria koreni",154.4444444,3.977777778,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Pherusa plumosa",6.666666667,1.1,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Pherusa plumosa",0,0,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Pherusa plumosa",5.555555556,1.622222222,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Pherusa plumosa",4.444444444,0.877777778,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Pherusa plumosa",8.888888889,1.1,206,"Suederfahrt","1968-11-15",9.2,21.917
"Pherusa plumosa",10,1.111111111,207,"Suederfahrt","1969-01-15",3.4,18.675
"Pherusa plumosa",6.666666667,0.111111111,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Pherusa plumosa",2.222222222,0.088888889,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Pherusa plumosa",7.777777778,0.888888889,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Pherusa plumosa",4.444444444,0.555555556,215,"Suederfahrt","1971-09-06",15,17.6625
"Pherusa plumosa",8.888888889,0.533333333,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Pherusa plumosa",0,0,217,"Suederfahrt","1972-01-25",2.5,19.74
"Pherusa plumosa",21.11111111,3,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Pherusa plumosa",1.111111111,0.155555556,222,"Suederfahrt","1975-12-15",3.7,24.2
"Pherusa plumosa",0,0,223,"Suederfahrt","1976-02-18",1.6,18
"Pherusa plumosa",0,0,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Terebellides stroemi",20,0.633333333,202,"Suederfahrt","1968-03-15",1.9,15.9256666666667
"Terebellides stroemi",6.666666667,0.244444444,203,"Suederfahrt","1968-05-15",5.3,16.1083333333333
"Terebellides stroemi",37.77777778,0.744444444,204,"Suederfahrt","1968-08-15",12.6,16.8006666666667
"Terebellides stroemi",33.33333333,0.655555556,205,"Suederfahrt","1968-09-15",13.1,15.1833333333333
"Terebellides stroemi",27.77777778,0.922222222,206,"Suederfahrt","1968-11-15",9.2,21.917
"Terebellides stroemi",48.88888889,1.366666667,207,"Suederfahrt","1969-01-15",3.4,18.675
"Terebellides stroemi",290,5,124,"Suederfahrt","1971-03-15",9.6,22.2406
"Terebellides stroemi",326.6666667,7.611111111,6,"Suederfahrt","1971-05-04",9.6,22.2406
"Terebellides stroemi",256.6666667,8.333333333,214,"Suederfahrt","1971-07-06",9.6,22.2406
"Terebellides stroemi",370,11.18888889,215,"Suederfahrt","1971-09-06",15,17.6625
"Terebellides stroemi",121.1111111,3.222222222,216,"Suederfahrt","1971-11-05",5.2,21.0432
"Terebellides stroemi",NA,NA,217,"Suederfahrt","1972-01-25",2.5,19.74
"Terebellides stroemi",124.4444444,2.355555556,218,"Suederfahrt","1972-03-10",1.9,19.9882
"Terebellides stroemi",25.55555556,1.122222222,222,"Suederfahrt","1975-12-15",3.7,24.2
"Terebellides stroemi",18.88888889,1.011111111,223,"Suederfahrt","1976-02-18",1.6,18
"Terebellides stroemi",71.11111111,1.433333333,228,"Suederfahrt","1976-12-15",5.1,26.8776666666667
"Abra alba",747.7777778,50.75555556,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Abra alba",167.7777778,14.37777778,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Abra alba",398.8888889,41.7,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Abra alba",337.7777778,44.64444444,244,"Millionenviertel","1968-11-15",9.2,21.917
"Abra alba",305.5555556,29.36666667,245,"Millionenviertel","1969-01-15",3.4,18.675
"Abra alba",47.77777778,2.333333333,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Abra alba",11.11111111,0.411111111,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Abra alba",11.11111111,0.211111111,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Abra alba",5.555555556,0.677777778,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Abra alba",41.11111111,2,254,"Millionenviertel","1971-09-06",15,17.6625
"Abra alba",238.8888889,16.66666667,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Abra alba",140,10.72222222,112,"Millionenviertel","1972-01-25",2.5,19.74
"Abra alba",145.5555556,16.57777778,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Abra alba",6.666666667,0.222222222,20,"Millionenviertel","1975-04-17",7.8,18.825
"Abra alba",167.7777778,8.988888889,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Abra alba",702.2222222,41.9,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Abra alba",712.2222222,78.03333333,257,"Millionenviertel","1975-12-15",3.7,24.2
"Abra alba",520,64.32222222,28,"Millionenviertel","1976-02-18",1.6,18
"Abra alba",292.2222222,42.66666667,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Abra alba",38.88888889,2.9,270,"Millionenviertel","1978-08-14",12.2,23.122
"Abra alba",136.6666667,14.01111111,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Arctica islandica",41.11111111,961.4666667,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Arctica islandica",34.44444444,609.2,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Arctica islandica",35.55555556,674.9555556,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Arctica islandica",64.44444444,113.1333333,244,"Millionenviertel","1968-11-15",9.2,21.917
"Arctica islandica",81.11111111,202.6555556,245,"Millionenviertel","1969-01-15",3.4,18.675
"Arctica islandica",45.55555556,844.5555556,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Arctica islandica",27.77777778,329.2222222,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Arctica islandica",24.44444444,7.922222222,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Arctica islandica",21.11111111,7.777777778,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Arctica islandica",66.66666667,1907.111111,254,"Millionenviertel","1971-09-06",15,17.6625
"Arctica islandica",68.88888889,997.7777778,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Arctica islandica",30,336.3333333,112,"Millionenviertel","1972-01-25",2.5,19.74
"Arctica islandica",27.77777778,511.2222222,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Arctica islandica",13.33333333,211.3333333,20,"Millionenviertel","1975-04-17",7.8,18.825
"Arctica islandica",13.33333333,253.7,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Arctica islandica",45.55555556,752.6333333,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Arctica islandica",47.77777778,377.4444444,257,"Millionenviertel","1975-12-15",3.7,24.2
"Arctica islandica",36.66666667,756.1111111,28,"Millionenviertel","1976-02-18",1.6,18
"Arctica islandica",15.55555556,292.6666667,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Arctica islandica",34.44444444,912.3333333,270,"Millionenviertel","1978-08-14",12.2,23.122
"Arctica islandica",21.11111111,449.7777778,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Astarte sp",226.6666667,184.3444444,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Astarte sp",388.8888889,147.8555556,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Astarte sp",217.7777778,82.87777778,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Astarte sp",134.4444444,85.88888889,244,"Millionenviertel","1968-11-15",9.2,21.917
"Astarte sp",377.7777778,133.1888889,245,"Millionenviertel","1969-01-15",3.4,18.675
"Astarte sp",186.6666667,74.44444444,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Astarte sp",113.3333333,61.88888889,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Astarte sp",82.22222222,31.66666667,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Astarte sp",38.88888889,48.78888889,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Astarte sp",37.77777778,11.38888889,254,"Millionenviertel","1971-09-06",15,17.6625
"Astarte sp",86.66666667,87.51111111,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Astarte sp",124.4444444,83.01111111,112,"Millionenviertel","1972-01-25",2.5,19.74
"Astarte sp",12.22222222,69.33333333,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Astarte sp",63.33333333,72.65555556,20,"Millionenviertel","1975-04-17",7.8,18.825
"Astarte sp",80,54.56666667,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Astarte sp",125.5555556,70.84444444,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Astarte sp",44.44444444,47.58888889,257,"Millionenviertel","1975-12-15",3.7,24.2
"Astarte sp",226.6666667,95.66666667,28,"Millionenviertel","1976-02-18",1.6,18
"Astarte sp",110,67.4,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Astarte sp",172.2222222,118.3333333,270,"Millionenviertel","1978-08-14",12.2,23.122
"Astarte sp",198.8888889,77.31111111,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Diastylis rathkei",22.22222222,0.333333333,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Diastylis rathkei",155.5555556,0.777777778,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Diastylis rathkei",175.5555556,2.611111111,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Diastylis rathkei",170,3.222222222,244,"Millionenviertel","1968-11-15",9.2,21.917
"Diastylis rathkei",75.55555556,1.433333333,245,"Millionenviertel","1969-01-15",3.4,18.675
"Diastylis rathkei",516.6666667,4,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Diastylis rathkei",302.2222222,2.555555556,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Diastylis rathkei",145.5555556,1.644444444,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Diastylis rathkei",1287.777778,4.344444444,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Diastylis rathkei",1124.444444,7.666666667,254,"Millionenviertel","1971-09-06",15,17.6625
"Diastylis rathkei",514.4444444,4.611111111,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Diastylis rathkei",150,1.744444444,112,"Millionenviertel","1972-01-25",2.5,19.74
"Diastylis rathkei",135.5555556,1.722222222,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Diastylis rathkei",72.22222222,1.022222222,20,"Millionenviertel","1975-04-17",7.8,18.825
"Diastylis rathkei",654.4444444,2.722222222,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Diastylis rathkei",306.6666667,3.166666667,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Diastylis rathkei",153.3333333,2.277777778,257,"Millionenviertel","1975-12-15",3.7,24.2
"Diastylis rathkei",104.4444444,1.666666667,28,"Millionenviertel","1976-02-18",1.6,18
"Diastylis rathkei",904.4444444,2.3,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Diastylis rathkei",838.8888889,6.544444444,270,"Millionenviertel","1978-08-14",12.2,23.122
"Diastylis rathkei",426.6666667,6.533333333,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Gastrosaccus spinifer",3.333333333,0.066666667,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Gastrosaccus spinifer",0,0,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Gastrosaccus spinifer",6.666666667,0.044444444,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Gastrosaccus spinifer",6.666666667,0.055555556,244,"Millionenviertel","1968-11-15",9.2,21.917
"Gastrosaccus spinifer",5.555555556,0.055555556,245,"Millionenviertel","1969-01-15",3.4,18.675
"Gastrosaccus spinifer",10,0.033333333,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Gastrosaccus spinifer",3.333333333,0.011111111,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Gastrosaccus spinifer",2.222222222,0.022222222,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Gastrosaccus spinifer",0,0,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Gastrosaccus spinifer",0,0,254,"Millionenviertel","1971-09-06",15,17.6625
"Gastrosaccus spinifer",0,0,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Gastrosaccus spinifer",28.88888889,0.233333333,112,"Millionenviertel","1972-01-25",2.5,19.74
"Gastrosaccus spinifer",1.111111111,0.011111111,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Gastrosaccus spinifer",2.222222222,0.022222222,20,"Millionenviertel","1975-04-17",7.8,18.825
"Gastrosaccus spinifer",0,0,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Gastrosaccus spinifer",0,0,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Gastrosaccus spinifer",10,0.066666667,257,"Millionenviertel","1975-12-15",3.7,24.2
"Gastrosaccus spinifer",5.555555556,0.055555556,28,"Millionenviertel","1976-02-18",1.6,18
"Gastrosaccus spinifer",0,0,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Gastrosaccus spinifer",0,0,270,"Millionenviertel","1978-08-14",12.2,23.122
"Gastrosaccus spinifer",1.111111111,0.011111111,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Nephthys sp",50,9.033333333,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Nephthys sp",50,14.02222222,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Nephthys sp",65.55555556,17.45555556,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Nephthys sp",60,14.9,244,"Millionenviertel","1968-11-15",9.2,21.917
"Nephthys sp",62.22222222,16.88888889,245,"Millionenviertel","1969-01-15",3.4,18.675
"Nephthys sp",90,21.2,251,"Millionenviertel","1971-01-07",6.4,15.1904
"Nephthys sp",88.88888889,13.47777778,252,"Millionenviertel","1971-03-15",9.6,22.2406
"Nephthys sp",105.5555556,24.12222222,5,"Millionenviertel","1971-05-04",9.6,22.2406
"Nephthys sp",72.22222222,14.65555556,253,"Millionenviertel","1971-07-06",9.6,22.2406
"Nephthys sp",82.22222222,17.22222222,254,"Millionenviertel","1971-09-06",15,17.6625
"Nephthys sp",85.55555556,19.71111111,255,"Millionenviertel","1971-11-05",5.2,21.0432
"Nephthys sp",110,17.51111111,112,"Millionenviertel","1972-01-25",2.5,19.74
"Nephthys sp",108.8888889,18.36666667,256,"Millionenviertel","1972-03-10",1.9,19.9882
"Nephthys sp",92.22222222,24.12222222,20,"Millionenviertel","1975-04-17",7.8,18.825
"Nephthys sp",92.22222222,17.5,21,"Millionenviertel","1975-07-02",11.6,18.2965
"Nephthys sp",110,20.53333333,24,"Millionenviertel","1975-09-17",13.2,20.8195
"Nephthys sp",90,14.95555556,257,"Millionenviertel","1975-12-15",3.7,24.2
"Nephthys sp",128.8888889,13.11111111,28,"Millionenviertel","1976-02-18",1.6,18
"Nephthys sp",68.88888889,14.1,33,"Millionenviertel","1976-06-24",11.1,20.15275
"Nephthys sp",73.33333333,19.84444444,270,"Millionenviertel","1978-08-14",12.2,23.122
"Nephthys sp",78.88888889,26.84444444,271,"Millionenviertel","1978-10-18",12.1,20.6265
"Ophiura albida",30,1.177777778,240,"Millionenviertel","1968-03-15",1.9,15.9256666666667
"Ophiura albida",33.33333333,0.922222222,241,"Millionenviertel","1968-05-15",5.3,16.1083333333333
"Ophiura albida",11.11111111,0.677777778,243,"Millionenviertel","1968-09-15",13.1,15.1833333333333
"Ophiura albida",37.77777778,2.344444444,244,"Millionenviertel","1968-11-15",9.2,21.917
"Ophiura albida",28.88888889,1.8,245,"Millionenviertel","1969-01-15",3.4,18.675
"Ophiura albida",30,1.988888889,251,"Millionenviertel","1971-01-07",6.4,15.1904
