"ID_Predators_individuals","ID_species","Lifestage","Sex","Length","stomach_part","number_of_prey","total_weight_g","latin_name","ID_sampling","station_name","dates","aggregated.dates","key.to.environment","corresponding.benthic.date","time.difference","temperature","Salinity"
16,6,1,10,12,"Vorderdarm oder Magen",1,1,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Vorderdarm oder Magen",4,4,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Vorderdarm oder Magen",24,10,"Microdeutopus sp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Mitteldarm",NA,3,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
16,6,1,10,12,"Mitteldarm",NA,4,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
17,6,1,10,13,"Mitteldarm",NA,4,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
17,6,1,10,13,"Vorderdarm oder Magen",1,35,"Nephthys spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
18,6,1,10,11,"Vorderdarm oder Magen",9,12,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
18,6,1,10,11,"Mitteldarm",16,27,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
18,6,1,10,11,"Vorderdarm oder Magen",3,2,"Euchone papillosa",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
18,6,1,10,11,"Vorderdarm oder Magen",1,2,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
18,6,1,10,11,"Vorderdarm oder Magen",1,1,"Amphipoda spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
19,6,1,10,18,"Vorderdarm oder Magen",1,2,"Crangon crangon",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
19,6,1,10,18,"Mitteldarm",51,64,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
19,6,1,10,18,"Vorderdarm oder Magen",5,6,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
20,6,NA,0,11,"Mitteldarm",NA,3,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
20,6,NA,0,11,"Vorderdarm oder Magen",1,2,"Harmothoe spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
20,6,NA,0,11,"Mitteldarm",1,1,"Gastosaccus spinifer",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
20,6,NA,0,11,"Vorderdarm oder Magen",2,23,"Nephthys spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
20,6,NA,0,11,"Vorderdarm oder Magen",1,2,"Gastosaccus spinifer",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
21,6,NA,0,12,"Mitteldarm",1,1,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
21,6,NA,0,12,"Mitteldarm",5,6,"Diastylis rathkei",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
22,6,1,20,23,"Mitteldarm",NA,20,"Macerated",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
22,6,1,20,23,"Vorderdarm oder Magen",2,167,"Nephthys spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
22,6,1,20,23,"Mitteldarm",NA,23,"Nephthys spp.",34,"Millionenviertel","1971-05-03","1971-05-03",5,"1971-05-04",-1,9.6,11.916
23,6,NA,0,12,"Mitteldarm",5,11,"Diastylis rathkei",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
23,6,NA,0,12,"Vorderdarm oder Magen",3,2,"Crangon crangon",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
24,6,2,10,25,"Mitteldarm",NA,4,"Macerated",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
24,6,2,10,25,"Mitteldarm",2,3,"Diastylis rathkei",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
24,6,2,10,25,"Mitteldarm",NA,2,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
24,6,2,10,25,"Mitteldarm",1,34,"Crangon crangon",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
25,6,NA,0,12,"Mitteldarm",NA,2,"Unidentified Polychaeta remains",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
25,6,NA,0,12,"Mitteldarm",NA,3,"Macerated",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
26,6,NA,0,14,"Vorderdarm oder Magen",3,8,"Terebellides stroemi",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
26,6,NA,0,14,"Mitteldarm",NA,7,"Terebellides stroemi",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
26,6,NA,0,14,"Mitteldarm",NA,3,"Macerated",34,"Millionenviertel","1971-05-04","1971-05-03",5,"1971-05-04",-1,9.6,11.916
31,6,1,10,16,"Vorderdarm oder Magen",3,47,"Pomatoschistus minutus",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
31,6,1,10,16,"Mitteldarm",NA,7,"Macerated",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
31,6,1,10,16,"Vorderdarm oder Magen",1,1,"Harmothoe spp.",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
31,6,1,10,16,"Mitteldarm",1,1,"Euchone papillosa",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
32,6,1,10,12,"Mitteldarm",5,7,"Diastylis rathkei",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
32,6,1,10,12,"Mitteldarm",NA,2,"Macerated",37,"Millionenviertel","1971-06-23","1971-06-23",253,"1971-07-06",-13,9.6,11.916
39,6,1,10,14,"Vorderdarm oder Magen",1,4,"Harmothoe spp.",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Vorderdarm oder Magen",17,3,"Diastylis rathkei",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Mitteldarm",30,8,"Diastylis rathkei",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Vorderdarm oder Magen",1,2,"Ophiura albida",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Mitteldarm",NA,6,"Macerated",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Mitteldarm",6,9,"Diastylis rathkei",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
40,6,1,20,17,"Vorderdarm oder Magen",4,4,"Diastylis rathkei",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
41,6,4,20,26,"Vorderdarm oder Magen",4,20,"Ophiura albida",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
41,6,4,20,26,"Mitteldarm",37,52,"Diastylis rathkei",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
41,6,4,20,26,"Mitteldarm",NA,20,"Macerated",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
41,6,4,20,26,"Mitteldarm",NA,310,"Ophiura albida",39,"Millionenviertel","1971-07-08","1971-07-08",253,"1971-07-06",2,9.6,11.916
42,6,2,10,18,"Mitteldarm",26,22,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
42,6,2,10,18,"Mitteldarm",1,2,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
42,6,2,10,18,"Mitteldarm",1,1,"Gastosaccus spinifer",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
42,6,2,10,18,"Mitteldarm",NA,8,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
43,6,2,10,18,"Mitteldarm",NA,21,"Nephthys spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
43,6,2,10,18,"Mitteldarm",NA,15,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
43,6,2,10,18,"Vorderdarm oder Magen",1,29,"Nephthys spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Mitteldarm",1,1,"Euchone papillosa",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Vorderdarm oder Magen",1,1,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Mitteldarm",36,28,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Mitteldarm",NA,40,"Ophiura albida",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Vorderdarm oder Magen",5,22,"Ophiura albida",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
44,6,2,10,18,"Mitteldarm",1,2,"Unidentified Polychaeta remains",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
45,6,2,10,17,"Mitteldarm",NA,10,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
46,6,1,10,15,"Mitteldarm",6,5,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
46,6,1,10,15,"Mitteldarm",1,6,"Pisces spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
46,6,1,10,15,"Mitteldarm",NA,2,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
46,6,1,10,15,"Vorderdarm oder Magen",1,12,"Pomatoschistus minutus",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
46,6,1,10,15,"Vorderdarm oder Magen",1,1,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
47,6,2,10,18,"Vorderdarm oder Magen",1,12,"Limanda limanda",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
47,6,2,10,18,"Mitteldarm",60,33,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
47,6,2,10,18,"Mitteldarm",NA,7,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
48,6,1,10,14,"Mitteldarm",NA,2,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
48,6,1,10,14,"Vorderdarm oder Magen",1,1,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
48,6,1,10,14,"Vorderdarm oder Magen",1,2,"Anthozoa spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
48,6,1,10,14,"Vorderdarm oder Magen",1,34,"Nephthys spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
48,6,1,10,14,"Vorderdarm oder Magen",2,21,"Pleuronectiformes spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
49,6,1,10,15,"Mitteldarm",1,NA,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
49,6,1,10,15,"Mitteldarm",1,1,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
49,6,1,10,15,"Mitteldarm",NA,1,"Unidentified Polychaeta remains",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
49,6,1,10,15,"Vorderdarm oder Magen",1,17,"Pomatoschistus minutus",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
49,6,1,10,15,"Mitteldarm",NA,3,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
50,6,2,10,16,"Mitteldarm",NA,5,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
50,6,2,10,16,"Mitteldarm",1,3,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
50,6,2,10,16,"Vorderdarm oder Magen",1,2,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
50,6,2,10,16,"Vorderdarm oder Magen",1,53,"Nephthys spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
51,6,2,10,17,"Mitteldarm",NA,13,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
51,6,2,10,17,"Mitteldarm",1,2,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
51,6,2,10,17,"Vorderdarm oder Magen",2,2,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
51,6,2,10,17,"Vorderdarm oder Magen",1,3,"Terebellides stroemi",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
51,6,2,10,17,"Vorderdarm oder Magen",1,50,"Nephthys spp.",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
53,6,NA,10,16,"Mitteldarm",NA,NA,"Unidentified Polychaeta remains",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
53,6,NA,10,16,"Mitteldarm",64,47,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
53,6,NA,10,16,"Mitteldarm",NA,5,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
54,6,NA,10,16,"Mitteldarm",40,23,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
54,6,NA,10,16,"Mitteldarm",1,1,"Crangon crangon",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
54,6,NA,10,16,"Vorderdarm oder Magen",9,7,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
55,6,NA,10,18,"Vorderdarm oder Magen",8,5,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
55,6,NA,10,18,"Mitteldarm",NA,2,"Ophiura albida",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
55,6,NA,10,18,"Vorderdarm oder Magen",1,2,"Ophiura albida",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
55,6,NA,10,18,"Mitteldarm",135,104,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
56,6,2,20,27,"Mitteldarm",120,146,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
56,6,2,20,27,"Mitteldarm",NA,10,"Macerated",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
56,6,2,20,27,"Mitteldarm",2,6,"Abra alba",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
56,6,2,20,27,"Vorderdarm oder Magen",2,4,"Diastylis rathkei",41,"Millionenviertel","1971-08-18","1971-08-18",254,"1971-09-06",-19,15,16.18
66,6,1,10,19,"Mitteldarm",1,5,"Pisces spp.",52,"Millionenviertel","1972-03-09","1972-03-09",256,"1972-03-10",-1,1.9,16.209
66,6,1,10,19,"Mitteldarm",NA,4,"Macerated",52,"Millionenviertel","1972-03-09","1972-03-09",256,"1972-03-10",-1,1.9,16.209
66,6,1,10,19,"Vorderdarm oder Magen",1,30,"Pomatoschistus minutus",52,"Millionenviertel","1972-03-09","1972-03-09",256,"1972-03-10",-1,1.9,16.209
67,6,1,10,14,"Mitteldarm",10,13,"Diastylis rathkei",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
67,6,1,10,14,"Vorderdarm oder Magen",7,12,"Diastylis rathkei",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
68,6,1,10,16,"Mitteldarm",NA,4,"Nephthys spp.",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
68,6,1,10,16,"Vorderdarm oder Magen",1,2,"Diastylis rathkei",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
68,6,1,10,16,"Vorderdarm oder Magen",1,24,"Nephthys spp.",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
68,6,1,10,16,"Mitteldarm",15,23,"Diastylis rathkei",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
68,6,1,10,16,"Vorderdarm oder Magen",1,10,"Gobiidae spp.",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
69,6,1,20,25,"Vorderdarm oder Magen",14,95,"Ophiura albida",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
69,6,1,20,25,"Mitteldarm",NA,6,"Macerated",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
69,6,1,20,25,"Mitteldarm",11,100,"Ophiura albida",55,"Millionenviertel","1975-04-17","1975-04-17",20,"1975-04-17",0,7.8,14.9
70,6,NA,10,18,"Mitteldarm",91,70,"Diastylis rathkei",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
70,6,NA,10,18,"Mitteldarm",NA,10,"Macerated",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
71,6,NA,10,19,"Mitteldarm",120,77,"Diastylis rathkei",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
71,6,NA,10,19,"Mitteldarm",NA,38,"Macerated",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
71,6,NA,10,19,"Mitteldarm",1,16,"Nephthys spp.",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
72,6,NA,10,19,"Mitteldarm",54,45,"Diastylis rathkei",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
72,6,NA,10,19,"Vorderdarm oder Magen",4,4,"Diastylis rathkei",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
72,6,NA,10,19,"Mitteldarm",NA,26,"Macerated",56,"Millionenviertel","1975-07-02","1975-07-02",21,"1975-07-02",0,11.6,13.09
78,6,NA,10,18,"Mitteldarm",83,63,"Diastylis rathkei",57,"Millionenviertel","1975-09-17","1975-09-17",24,"1975-09-17",0,13.2,18.333
78,6,NA,10,18,"Mitteldarm",NA,7,"Macerated",57,"Millionenviertel","1975-09-17","1975-09-17",24,"1975-09-17",0,13.2,18.333
78,6,NA,10,18,"Vorderdarm oder Magen",1,3,"Harmothoe spp.",57,"Millionenviertel","1975-09-17","1975-09-17",24,"1975-09-17",0,13.2,18.333
78,6,NA,10,18,"Vorderdarm oder Magen",3,3,"Diastylis rathkei",57,"Millionenviertel","1975-09-17","1975-09-17",24,"1975-09-17",0,13.2,18.333
