"ID_sampling" "ID_Trawling_Locations" "ID_date" "ID_Trawling_Locations" "station_name" "station_codename" "ID_date" "dates"
81 5 94 5 "Dorschmulde" "DORSCHMULD" 94 "1971-01-24"
82 5 55 5 "Dorschmulde" "DORSCHMULD" 55 "1972-02-14"
83 5 95 5 "Dorschmulde" "DORSCHMULD" 95 "1972-03-15"
84 7 89 7 "Hohwachter Bucht" "HOHWACHT B" 89 "1971-01-06"
85 7 12 7 "Hohwachter Bucht" "HOHWACHT B" 12 "1971-01-07"
86 7 13 7 "Hohwachter Bucht" "HOHWACHT B" 13 "1971-03-15"
87 7 96 7 "Hohwachter Bucht" "HOHWACHT B" 96 "1971-04-07"
88 7 52 7 "Hohwachter Bucht" "HOHWACHT B" 52 "1971-12-22"
89 7 97 7 "Hohwachter Bucht" "HOHWACHT B" 97 "1972-01-26"
90 7 98 7 "Hohwachter Bucht" "HOHWACHT B" 98 "1972-02-16"
91 7 19 7 "Hohwachter Bucht" "HOHWACHT B" 19 "1972-03-10"
93 4 99 4 "Stollergrund" "STOLLGRUND" 99 "1971-11-03"
94 4 93 4 "Stollergrund" "STOLLGRUND" 93 "1971-12-21"
95 4 52 4 "Stollergrund" "STOLLGRUND" 52 "1971-12-22"
96 6 90 6 "Vejsnäs Rinne" "VEJSN RINN" 90 "1971-03-01"
97 6 100 6 "Vejsnäs Rinne" "VEJSN RINN" 100 "1971-03-02"
98 6 92 6 "Vejsnäs Rinne" "VEJSN RINN" 92 "1971-12-07"
99 5 101 5 "Dorschmulde" "DORSCHMULD" 101 "1970-11-10"
100 5 45 5 "Dorschmulde" "DORSCHMULD" 45 "1971-06-21"
101 7 47 7 "Hohwachter Bucht" "HOHWACHT B" 47 "1971-06-23"
102 7 102 7 "Hohwachter Bucht" "HOHWACHT B" 102 "1971-06-24"
103 3 103 3 "Boknis Eck" "BOKNIS ECK" 103 "1971-06-25"
104 4 103 4 "Stollergrund" "STOLLGRUND" 103 "1971-06-25"
105 6 104 6 "Vejsnäs Rinne" "VEJSN RINN" 104 "1971-08-19"
106 7 50 7 "Hohwachter Bucht" "HOHWACHT B" 50 "1971-10-27"
107 3 99 3 "Boknis Eck" "BOKNIS ECK" 99 "1971-11-03"
108 3 94 3 "Boknis Eck" "BOKNIS ECK" 94 "1971-01-24"
109 7 105 7 "Hohwachter Bucht" "HOHWACHT B" 105 "1972-02-17"
110 2 75 2 "Millionenviertel" "MIOVIERTEL" 75 "1971-12-09"
111 2 90 2 "Millionenviertel" "MIOVIERTEL" 90 "1971-03-01"
112 2 18 2 "Millionenviertel" "MIOVIERTEL" 18 "1972-01-25"
113 1 48 1 "Suederfahrt" "SUED.FAHRT" 48 "1971-07-08"
114 1 106 1 "Suederfahrt" "SUED.FAHRT" 106 "1971-07-09"
115 1 107 1 "Suederfahrt" "SUED.FAHRT" 107 "1971-04-08"
116 2 96 2 "Millionenviertel" "MIOVIERTEL" 96 "1971-04-07"
117 1 108 1 "Suederfahrt" "SUED.FAHRT" 108 "1971-10-07"
118 2 109 2 "Millionenviertel" "MIOVIERTEL" 109 "1971-01-25"
119 1 110 1 "Suederfahrt" "SUED.FAHRT" 110 "1971-10-06"
120 1 97 1 "Suederfahrt" "SUED.FAHRT" 97 "1972-01-26"
121 2 111 2 "Millionenviertel" "MIOVIERTEL" 111 "1971-02-16"
122 1 102 1 "Suederfahrt" "SUED.FAHRT" 102 "1971-06-24"
123 2 46 2 "Millionenviertel" "MIOVIERTEL" 46 "1971-06-22"
124 1 13 1 "Suederfahrt" "SUED.FAHRT" 13 "1971-03-15"
125 1 112 1 "Suederfahrt" "SUED.FAHRT" 112 "1971-08-17"
126 2 100 2 "Millionenviertel" "MIOVIERTEL" 100 "1971-03-02"
127 2 82 2 "Millionenviertel" "MIOVIERTEL" 82 "1971-03-16"
128 2 98 2 "Millionenviertel" "MIOVIERTEL" 98 "1972-02-16"
129 1 100 1 "Suederfahrt" "SUED.FAHRT" 100 "1971-03-02"
130 1 96 1 "Suederfahrt" "SUED.FAHRT" 96 "1971-04-07"
131 1 52 1 "Suederfahrt" "SUED.FAHRT" 52 "1971-12-22"
132 7 14 7 "Hohwachter Bucht" "HOHWACHT B" 14 "1971-05-04"
133 5 113 5 "Dorschmulde" "DORSCHMULD" 113 "1971-08-20"
134 7 113 7 "Hohwachter Bucht" "HOHWACHT B" 113 "1971-08-20"
136 5 115 5 "Dorschmulde" "DORSCHMULD" 115 "1970-08-29"
137 5 110 5 "Dorschmulde" "DORSCHMULD" 110 "1971-10-06"
138 1 56 1 "Suederfahrt" "SUED.FAHRT" 56 "1972-03-09"
139 1 95 1 "Suederfahrt" "SUED.FAHRT" 95 "1972-03-15"
140 2 116 2 "Millionenviertel" "MIOVIERTEL" 116 "1971-01-18"
141 6 117 6 "Vejsnäs Rinne" "VEJSN RINN" 117 "1971-01-28"
142 6 118 6 "Vejsnäs Rinne" "VEJSN RINN" 118 "1974-03-02"
143 7 116 7 "Hohwachter Bucht" "HOHWACHT B" 116 "1971-01-18"
144 7 119 7 "Hohwachter Bucht" "HOHWACHT B" 119 "1971-01-20"
146 1 98 1 "Suederfahrt" "SUED.FAHRT" 98 "1972-02-16"
147 3 93 3 "Boknis Eck" "BOKNIS ECK" 93 "1971-12-21"
148 1 121 1 "Suederfahrt" "SUED.FAHRT" 121 "1968-01-31"
149 1 122 1 "Suederfahrt" "SUED.FAHRT" 122 "1968-02-16"
150 1 123 1 "Suederfahrt" "SUED.FAHRT" 123 "1968-01-16"
151 1 124 1 "Suederfahrt" "SUED.FAHRT" 124 "1968-04-10"
152 1 125 1 "Suederfahrt" "SUED.FAHRT" 125 "1968-05-22"
153 1 126 1 "Suederfahrt" "SUED.FAHRT" 126 "1968-06-24"
154 1 127 1 "Suederfahrt" "SUED.FAHRT" 127 "1968-10-28"
155 1 128 1 "Suederfahrt" "SUED.FAHRT" 128 "1968-07-05"
156 1 129 1 "Suederfahrt" "SUED.FAHRT" 129 "1968-08-16"
157 1 130 1 "Suederfahrt" "SUED.FAHRT" 130 "1968-09-25"
158 1 131 1 "Suederfahrt" "SUED.FAHRT" 131 "1968-11-13"
159 1 132 1 "Suederfahrt" "SUED.FAHRT" 132 "1968-12-06"
160 1 133 1 "Suederfahrt" "SUED.FAHRT" 133 "1969-01-16"
161 1 134 1 "Suederfahrt" "SUED.FAHRT" 134 "1969-02-27"
162 2 135 2 "Millionenviertel" "MIOVIERTEL" 135 "1968-03-20"
163 2 125 2 "Millionenviertel" "MIOVIERTEL" 125 "1968-05-22"
164 2 128 2 "Millionenviertel" "MIOVIERTEL" 128 "1968-07-05"
165 2 130 2 "Millionenviertel" "MIOVIERTEL" 130 "1968-09-25"
166 2 136 2 "Millionenviertel" "MIOVIERTEL" 136 "1968-10-08"
167 2 137 2 "Millionenviertel" "MIOVIERTEL" 137 "1968-11-14"
168 2 133 2 "Millionenviertel" "MIOVIERTEL" 133 "1969-01-16"
169 2 138 2 "Millionenviertel" "MIOVIERTEL" 138 "1969-01-17"
170 3 123 3 "Boknis Eck" "BOKNIS ECK" 123 "1968-01-16"
171 3 139 3 "Boknis Eck" "BOKNIS ECK" 139 "1968-03-19"
172 3 140 3 "Boknis Eck" "BOKNIS ECK" 140 "1968-11-22"
173 3 141 3 "Boknis Eck" "BOKNIS ECK" 141 "1969-01-14"
174 4 142 4 "Stollergrund" "STOLLGRUND" 142 "1968-05-20"
175 5 123 5 "Dorschmulde" "DORSCHMULD" 123 "1968-01-16"
176 5 139 5 "Dorschmulde" "DORSCHMULD" 139 "1968-03-19"
177 5 143 5 "Dorschmulde" "DORSCHMULD" 143 "1968-05-21"
178 5 144 5 "Dorschmulde" "DORSCHMULD" 144 "1968-07-13"
179 5 145 5 "Dorschmulde" "DORSCHMULD" 145 "1968-09-23"
180 5 146 5 "Dorschmulde" "DORSCHMULD" 146 "1968-09-24"
181 5 147 5 "Dorschmulde" "DORSCHMULD" 147 "1968-11-12"
182 5 141 5 "Dorschmulde" "DORSCHMULD" 141 "1969-01-14"
183 6 148 6 "Vejsnäs Rinne" "VEJSN RINN" 148 "1968-02-01"
184 6 143 6 "Vejsnäs Rinne" "VEJSN RINN" 143 "1968-05-21"
185 6 149 6 "Vejsnäs Rinne" "VEJSN RINN" 149 "1968-07-02"
186 6 146 6 "Vejsnäs Rinne" "VEJSN RINN" 146 "1968-09-24"
187 6 150 6 "Vejsnäs Rinne" "VEJSN RINN" 150 "1968-12-05"
188 6 6 6 "Vejsnäs Rinne" "VEJSN RINN" 6 "1969-01-15"
189 7 151 7 "Hohwachter Bucht" "HOHWACHT B" 151 "1968-05-24"
190 7 152 7 "Hohwachter Bucht" "HOHWACHT B" 152 "1968-07-04"
191 7 153 7 "Hohwachter Bucht" "HOHWACHT B" 153 "1968-09-26"
192 7 154 7 "Hohwachter Bucht" "HOHWACHT B" 154 "1968-11-27"
193 7 138 7 "Hohwachter Bucht" "HOHWACHT B" 138 "1969-01-17"
194 3 41 3 "Boknis Eck" "BOKNIS ECK" 41 "1971-03-03"
195 3 142 3 "Boknis Eck" "BOKNIS ECK" 142 "1968-05-20"
196 3 155 3 "Boknis Eck" "BOKNIS ECK" 155 "1968-07-01"
197 7 148 7 "Hohwachter Bucht" "HOHWACHT B" 148 "1968-02-01"
198 2 156 2 "Millionenviertel" "MIOVIERTEL" 156 "1968-02-02"
199 1 135 1 "Suederfahrt" "SUED.FAHRT" 135 "1968-03-20"
200 1 157 1 "Suederfahrt" "SUED.FAHRT" 157 "1968-12-18"
201 6 158 6 "Vejsnäs Rinne" "VEJSN RINN" 158 "1968-03-21"
202 1 1 1 "Suederfahrt" "SUED.FAHRT" 1 "1968-03-15"
203 1 2 1 "Suederfahrt" "SUED.FAHRT" 2 "1968-05-15"
204 1 3 1 "Suederfahrt" "SUED.FAHRT" 3 "1968-08-15"
205 1 4 1 "Suederfahrt" "SUED.FAHRT" 4 "1968-09-15"
206 1 5 1 "Suederfahrt" "SUED.FAHRT" 5 "1968-11-15"
207 1 6 1 "Suederfahrt" "SUED.FAHRT" 6 "1969-01-15"
208 1 7 1 "Suederfahrt" "SUED.FAHRT" 7 "1969-05-15"
209 1 8 1 "Suederfahrt" "SUED.FAHRT" 8 "1969-11-25"
210 1 9 1 "Suederfahrt" "SUED.FAHRT" 9 "1970-03-10"
211 1 10 1 "Suederfahrt" "SUED.FAHRT" 10 "1970-07-03"
212 1 11 1 "Suederfahrt" "SUED.FAHRT" 11 "1970-11-09"
213 1 12 1 "Suederfahrt" "SUED.FAHRT" 12 "1971-01-07"
214 1 15 1 "Suederfahrt" "SUED.FAHRT" 15 "1971-07-06"
215 1 16 1 "Suederfahrt" "SUED.FAHRT" 16 "1971-09-06"
216 1 17 1 "Suederfahrt" "SUED.FAHRT" 17 "1971-11-05"
217 1 18 1 "Suederfahrt" "SUED.FAHRT" 18 "1972-01-25"
218 1 19 1 "Suederfahrt" "SUED.FAHRT" 19 "1972-03-10"
219 1 20 1 "Suederfahrt" "SUED.FAHRT" 20 "1975-04-17"
220 1 21 1 "Suederfahrt" "SUED.FAHRT" 21 "1975-07-02"
221 1 22 1 "Suederfahrt" "SUED.FAHRT" 22 "1975-09-17"
222 1 23 1 "Suederfahrt" "SUED.FAHRT" 23 "1975-12-15"
223 1 24 1 "Suederfahrt" "SUED.FAHRT" 24 "1976-02-18"
224 1 25 1 "Suederfahrt" "SUED.FAHRT" 25 "1976-04-30"
225 1 26 1 "Suederfahrt" "SUED.FAHRT" 26 "1976-06-24"
226 1 27 1 "Suederfahrt" "SUED.FAHRT" 27 "1976-08-18"
227 1 28 1 "Suederfahrt" "SUED.FAHRT" 28 "1976-10-21"
228 1 29 1 "Suederfahrt" "SUED.FAHRT" 29 "1976-12-15"
229 1 30 1 "Suederfahrt" "SUED.FAHRT" 30 "1977-02-15"
230 1 31 1 "Suederfahrt" "SUED.FAHRT" 31 "1977-04-26"
231 1 32 1 "Suederfahrt" "SUED.FAHRT" 32 "1977-07-06"
232 1 33 1 "Suederfahrt" "SUED.FAHRT" 33 "1977-08-24"
233 1 34 1 "Suederfahrt" "SUED.FAHRT" 34 "1977-10-18"
234 1 35 1 "Suederfahrt" "SUED.FAHRT" 35 "1977-12-15"
235 1 36 1 "Suederfahrt" "SUED.FAHRT" 36 "1978-02-15"
236 1 37 1 "Suederfahrt" "SUED.FAHRT" 37 "1978-04-17"
237 1 38 1 "Suederfahrt" "SUED.FAHRT" 38 "1978-08-14"
238 1 39 1 "Suederfahrt" "SUED.FAHRT" 39 "1978-10-18"
239 1 40 1 "Suederfahrt" "SUED.FAHRT" 40 "1978-12-12"
240 2 1 2 "Millionenviertel" "MIOVIERTEL" 1 "1968-03-15"
241 2 2 2 "Millionenviertel" "MIOVIERTEL" 2 "1968-05-15"
242 2 3 2 "Millionenviertel" "MIOVIERTEL" 3 "1968-08-15"
243 2 4 2 "Millionenviertel" "MIOVIERTEL" 4 "1968-09-15"
244 2 5 2 "Millionenviertel" "MIOVIERTEL" 5 "1968-11-15"
245 2 6 2 "Millionenviertel" "MIOVIERTEL" 6 "1969-01-15"
246 2 7 2 "Millionenviertel" "MIOVIERTEL" 7 "1969-05-15"
247 2 8 2 "Millionenviertel" "MIOVIERTEL" 8 "1969-11-25"
248 2 9 2 "Millionenviertel" "MIOVIERTEL" 9 "1970-03-10"
249 2 10 2 "Millionenviertel" "MIOVIERTEL" 10 "1970-07-03"
250 2 11 2 "Millionenviertel" "MIOVIERTEL" 11 "1970-11-09"
251 2 12 2 "Millionenviertel" "MIOVIERTEL" 12 "1971-01-07"
252 2 13 2 "Millionenviertel" "MIOVIERTEL" 13 "1971-03-15"
253 2 15 2 "Millionenviertel" "MIOVIERTEL" 15 "1971-07-06"
254 2 16 2 "Millionenviertel" "MIOVIERTEL" 16 "1971-09-06"
255 2 17 2 "Millionenviertel" "MIOVIERTEL" 17 "1971-11-05"
256 2 19 2 "Millionenviertel" "MIOVIERTEL" 19 "1972-03-10"
257 2 23 2 "Millionenviertel" "MIOVIERTEL" 23 "1975-12-15"
258 2 25 2 "Millionenviertel" "MIOVIERTEL" 25 "1976-04-30"
259 2 27 2 "Millionenviertel" "MIOVIERTEL" 27 "1976-08-18"
260 2 28 2 "Millionenviertel" "MIOVIERTEL" 28 "1976-10-21"
261 2 29 2 "Millionenviertel" "MIOVIERTEL" 29 "1976-12-15"
262 2 30 2 "Millionenviertel" "MIOVIERTEL" 30 "1977-02-15"
263 2 31 2 "Millionenviertel" "MIOVIERTEL" 31 "1977-04-26"
264 2 32 2 "Millionenviertel" "MIOVIERTEL" 32 "1977-07-06"
265 2 33 2 "Millionenviertel" "MIOVIERTEL" 33 "1977-08-24"
266 2 34 2 "Millionenviertel" "MIOVIERTEL" 34 "1977-10-18"
267 2 35 2 "Millionenviertel" "MIOVIERTEL" 35 "1977-12-15"
268 2 36 2 "Millionenviertel" "MIOVIERTEL" 36 "1978-02-15"
269 2 37 2 "Millionenviertel" "MIOVIERTEL" 37 "1978-04-17"
270 2 38 2 "Millionenviertel" "MIOVIERTEL" 38 "1978-08-14"
271 2 39 2 "Millionenviertel" "MIOVIERTEL" 39 "1978-10-18"
272 2 40 2 "Millionenviertel" "MIOVIERTEL" 40 "1978-12-12"
